Country,Postal_Code,Pathway_Region
USA,11792,NYSTc_Mixed mild_4A
USA,11794,NYSTc_Mixed mild_4A
USA,11795,NYSTc_Mixed mild_4A
USA,11796,NYSTc_Mixed mild_4A
USA,11797,NYSTc_Mixed mild_4A
USA,11798,NYSTc_Mixed mild_4A
USA,11901,NYSTc_Mixed mild_4A
USA,11930,NYSTc_Mixed mild_4A
USA,11931,NYSTc_Mixed mild_4A
USA,11932,NYSTc_Mixed mild_4A
USA,11933,NYSTc_Mixed mild_4A
USA,11934,NYSTc_Mixed mild_4A
USA,11935,NYSTc_Mixed mild_4A
USA,11937,NYSTc_Mixed mild_4A
USA,11939,NYSTc_Mixed mild_4A
USA,11940,NYSTc_Mixed mild_4A
USA,11941,NYSTc_Mixed mild_4A
USA,11942,NYSTc_Mixed mild_4A
USA,11944,NYSTc_Mixed mild_4A
USA,11946,NYSTc_Mixed mild_4A
USA,11947,NYSTc_Mixed mild_4A
USA,11948,NYSTc_Mixed mild_4A
USA,11949,NYSTc_Mixed mild_4A
USA,11950,NYSTc_Mixed mild_4A
USA,11951,NYSTc_Mixed mild_4A
USA,11952,NYSTc_Mixed mild_4A
USA,11953,NYSTc_Mixed mild_4A
USA,11954,NYSTc_Mixed mild_4A
USA,11955,NYSTc_Mixed mild_4A
USA,11956,NYSTc_Mixed mild_4A
USA,11957,NYSTc_Mixed mild_4A
USA,11958,NYSTc_Mixed mild_4A
USA,11959,NYSTc_Mixed mild_4A
USA,11960,NYSTc_Mixed mild_4A
USA,11961,NYSTc_Mixed mild_4A
USA,11962,NYSTc_Mixed mild_4A
USA,11963,NYSTc_Mixed mild_4A
USA,11964,NYSTc_Mixed mild_4A
USA,11965,NYSTc_Mixed mild_4A
USA,11967,NYSTc_Mixed mild_4A
USA,11968,NYSTc_Mixed mild_4A
USA,11969,NYSTc_Mixed mild_4A
USA,11970,NYSTc_Mixed mild_4A
USA,11971,NYSTc_Mixed mild_4A
USA,11972,NYSTc_Mixed mild_4A
USA,11973,NYSTc_Mixed mild_4A
USA,11975,NYSTc_Mixed mild_4A
USA,11976,NYSTc_Mixed mild_4A
USA,11977,NYSTc_Mixed mild_4A
USA,11978,NYSTc_Mixed mild_4A
USA,11980,NYSTc_Mixed mild_4A
USA,7001,RFCEc_Mixed mild_4A
USA,7008,RFCEc_Mixed mild_4A
USA,7060,RFCEc_Mixed mild_4A
USA,7063,RFCEc_Mixed mild_4A
USA,7064,RFCEc_Mixed mild_4A
USA,7065,RFCEc_Mixed mild_4A
USA,7066,RFCEc_Mixed mild_4A
USA,7067,RFCEc_Mixed mild_4A
USA,7076,RFCEc_Mixed mild_4A
USA,7077,RFCEc_Mixed mild_4A
USA,7080,RFCEc_Mixed mild_4A
USA,7095,RFCEc_Mixed mild_4A
USA,7721,RFCEc_Mixed mild_4A
USA,7726,RFCEc_Mixed mild_4A
USA,7735,RFCEc_Mixed mild_4A
USA,7747,RFCEc_Mixed mild_4A
USA,7751,RFCEc_Mixed mild_4A
USA,8512,RFCEc_Mixed mild_4A
USA,8520,RFCEc_Mixed mild_4A
USA,8528,RFCEc_Mixed mild_4A
USA,8536,RFCEc_Mixed mild_4A
USA,8540,RFCEc_Mixed mild_4A
USA,8805,RFCEc_Mixed mild_4A
USA,8810,RFCEc_Mixed mild_4A
USA,8812,RFCEc_Mixed mild_4A
USA,8816,RFCEc_Mixed mild_4A
USA,8817,RFCEc_Mixed mild_4A
USA,8818,RFCEc_Mixed mild_4A
USA,8820,RFCEc_Mixed mild_4A
USA,8823,RFCEc_Mixed mild_4A
USA,8824,RFCEc_Mixed mild_4A
USA,8828,RFCEc_Mixed mild_4A
USA,8830,RFCEc_Mixed mild_4A
USA,8831,RFCEc_Mixed mild_4A
USA,8832,RFCEc_Mixed mild_4A
USA,8837,RFCEc_Mixed mild_4A
USA,8840,RFCEc_Mixed mild_4A
USA,8846,RFCEc_Mixed mild_4A
USA,8850,RFCEc_Mixed mild_4A
USA,8852,RFCEc_Mixed mild_4A
USA,8854,RFCEc_Mixed mild_4A
USA,8855,RFCEc_Mixed mild_4A
USA,8857,RFCEc_Mixed mild_4A
USA,8859,RFCEc_Mixed mild_4A
USA,8861,RFCEc_Mixed mild_4A
USA,8862,RFCEc_Mixed mild_4A
USA,8863,RFCEc_Mixed mild_4A
USA,8872,RFCEc_Mixed mild_4A
USA,8879,RFCEc_Mixed mild_4A
USA,8882,RFCEc_Mixed mild_4A
USA,8884,RFCEc_Mixed mild_4A
USA,8899,RFCEc_Mixed mild_4A
USA,8901,RFCEc_Mixed mild_4A
USA,8902,RFCEc_Mixed mild_4A
USA,8903,RFCEc_Mixed mild_4A
USA,8904,RFCEc_Mixed mild_4A
USA,8906,RFCEc_Mixed mild_4A
USA,8933,RFCEc_Mixed mild_4A
USA,7002,RFCEc_Mixed mild_4A
USA,7029,RFCEc_Mixed mild_4A
USA,7030,RFCEc_Mixed mild_4A
USA,7031,RFCEc_Mixed mild_4A
USA,7032,RFCEc_Mixed mild_4A
USA,7047,RFCEc_Mixed mild_4A
USA,7086,RFCEc_Mixed mild_4A
USA,7087,RFCEc_Mixed mild_4A
USA,7093,RFCEc_Mixed mild_4A
USA,7094,RFCEc_Mixed mild_4A
USA,7096,RFCEc_Mixed mild_4A
USA,7097,RFCEc_Mixed mild_4A
USA,7099,RFCEc_Mixed mild_4A
USA,7302,RFCEc_Mixed mild_4A
USA,7303,RFCEc_Mixed mild_4A
USA,7304,RFCEc_Mixed mild_4A
USA,7305,RFCEc_Mixed mild_4A
USA,7306,RFCEc_Mixed mild_4A
USA,7307,RFCEc_Mixed mild_4A
USA,7310,RFCEc_Mixed mild_4A
USA,7311,RFCEc_Mixed mild_4A
USA,7399,RFCEc_Mixed mild_4A
USA,7003,RFCEc_Mixed mild_4A
USA,7004,RFCEc_Mixed mild_4A
USA,7006,RFCEc_Mixed mild_4A
USA,7007,RFCEc_Mixed mild_4A
USA,7009,RFCEc_Mixed mild_4A
USA,7014,RFCEc_Mixed mild_4A
USA,7017,RFCEc_Mixed mild_4A
USA,7018,RFCEc_Mixed mild_4A
USA,7019,RFCEc_Mixed mild_4A
USA,7021,RFCEc_Mixed mild_4A
USA,7028,RFCEc_Mixed mild_4A
USA,7039,RFCEc_Mixed mild_4A
USA,7040,RFCEc_Mixed mild_4A
USA,7041,RFCEc_Mixed mild_4A
USA,7042,RFCEc_Mixed mild_4A
USA,7043,RFCEc_Mixed mild_4A
USA,7044,RFCEc_Mixed mild_4A
USA,7050,RFCEc_Mixed mild_4A
USA,7051,RFCEc_Mixed mild_4A
USA,7052,RFCEc_Mixed mild_4A
USA,7068,RFCEc_Mixed mild_4A
USA,7078,RFCEc_Mixed mild_4A
USA,7079,RFCEc_Mixed mild_4A
USA,7083,RFCEc_Mixed mild_4A
USA,7088,RFCEc_Mixed mild_4A
USA,7101,RFCEc_Mixed mild_4A
USA,7102,RFCEc_Mixed mild_4A
USA,7103,RFCEc_Mixed mild_4A
USA,7104,RFCEc_Mixed mild_4A
USA,7105,RFCEc_Mixed mild_4A
USA,7106,RFCEc_Mixed mild_4A
USA,7107,RFCEc_Mixed mild_4A
USA,7108,RFCEc_Mixed mild_4A
USA,7109,RFCEc_Mixed mild_4A
USA,7110,RFCEc_Mixed mild_4A
USA,7111,RFCEc_Mixed mild_4A
USA,7112,RFCEc_Mixed mild_4A
USA,7114,RFCEc_Mixed mild_4A
USA,7175,RFCEc_Mixed mild_4A
USA,7201,RFCEc_Mixed mild_4A
USA,7424,RFCEc_Mixed mild_4A
USA,7016,RFCEc_Mixed mild_4A
USA,7023,RFCEc_Mixed mild_4A
USA,7027,RFCEc_Mixed mild_4A
USA,7033,RFCEc_Mixed mild_4A
USA,7036,RFCEc_Mixed mild_4A
USA,7061,RFCEc_Mixed mild_4A
USA,7062,RFCEc_Mixed mild_4A
USA,7069,RFCEc_Mixed mild_4A
USA,7081,RFCEc_Mixed mild_4A
USA,7090,RFCEc_Mixed mild_4A
USA,7091,RFCEc_Mixed mild_4A
USA,7092,RFCEc_Mixed mild_4A
USA,7202,RFCEc_Mixed mild_4A
USA,7203,RFCEc_Mixed mild_4A
USA,7204,RFCEc_Mixed mild_4A
USA,7205,RFCEc_Mixed mild_4A
USA,7206,RFCEc_Mixed mild_4A
USA,7207,RFCEc_Mixed mild_4A
USA,7208,RFCEc_Mixed mild_4A
USA,7901,RFCEc_Mixed mild_4A
USA,7902,RFCEc_Mixed mild_4A
USA,7922,RFCEc_Mixed mild_4A
USA,7974,RFCEc_Mixed mild_4A
USA,7701,RFCEc_Mixed mild_4A
USA,7702,RFCEc_Mixed mild_4A
USA,7704,RFCEc_Mixed mild_4A
USA,7710,RFCEc_Mixed mild_4A
USA,7711,RFCEc_Mixed mild_4A
USA,7712,RFCEc_Mixed mild_4A
USA,7716,RFCEc_Mixed mild_4A
USA,7717,RFCEc_Mixed mild_4A
USA,7718,RFCEc_Mixed mild_4A
USA,7719,RFCEc_Mixed mild_4A
USA,7720,RFCEc_Mixed mild_4A
USA,7722,RFCEc_Mixed mild_4A
USA,7723,RFCEc_Mixed mild_4A
USA,7724,RFCEc_Mixed mild_4A
USA,7727,RFCEc_Mixed mild_4A
USA,7728,RFCEc_Mixed mild_4A
USA,7730,RFCEc_Mixed mild_4A
USA,7731,RFCEc_Mixed mild_4A
USA,7732,RFCEc_Mixed mild_4A
USA,7733,RFCEc_Mixed mild_4A
USA,7734,RFCEc_Mixed mild_4A
USA,7737,RFCEc_Mixed mild_4A
USA,7738,RFCEc_Mixed mild_4A
USA,7739,RFCEc_Mixed mild_4A
USA,7740,RFCEc_Mixed mild_4A
USA,7746,RFCEc_Mixed mild_4A
USA,7748,RFCEc_Mixed mild_4A
USA,7750,RFCEc_Mixed mild_4A
USA,7752,RFCEc_Mixed mild_4A
USA,7753,RFCEc_Mixed mild_4A
USA,7754,RFCEc_Mixed mild_4A
USA,7755,RFCEc_Mixed mild_4A
USA,7756,RFCEc_Mixed mild_4A
USA,7757,RFCEc_Mixed mild_4A
USA,7758,RFCEc_Mixed mild_4A
USA,7760,RFCEc_Mixed mild_4A
USA,7762,RFCEc_Mixed mild_4A
USA,7763,RFCEc_Mixed mild_4A
USA,7764,RFCEc_Mixed mild_4A
USA,7765,RFCEc_Mixed mild_4A
USA,7799,RFCEc_Mixed mild_4A
USA,8501,RFCEc_Mixed mild_4A
USA,8510,RFCEc_Mixed mild_4A
USA,8514,RFCEc_Mixed mild_4A
USA,8527,RFCEc_Mixed mild_4A
USA,8535,RFCEc_Mixed mild_4A
USA,8555,RFCEc_Mixed mild_4A
USA,8562,RFCEc_Mixed mild_4A
USA,8620,RFCEc_Mixed mild_4A
USA,8691,RFCEc_Mixed mild_4A
USA,8720,RFCEc_Mixed mild_4A
USA,8724,RFCEc_Mixed mild_4A
USA,8730,RFCEc_Mixed mild_4A
USA,8736,RFCEc_Mixed mild_4A
USA,8750,RFCEc_Mixed mild_4A
USA,8005,RFCEc_Mixed mild_4A
USA,8006,RFCEc_Mixed mild_4A
USA,8008,RFCEc_Mixed mild_4A
USA,8050,RFCEc_Mixed mild_4A
USA,8087,RFCEc_Mixed mild_4A
USA,8092,RFCEc_Mixed mild_4A
USA,8533,RFCEc_Mixed mild_4A
USA,8701,RFCEc_Mixed mild_4A
USA,8721,RFCEc_Mixed mild_4A
USA,8722,RFCEc_Mixed mild_4A
USA,8723,RFCEc_Mixed mild_4A
USA,8731,RFCEc_Mixed mild_4A
USA,8732,RFCEc_Mixed mild_4A
USA,8733,RFCEc_Mixed mild_4A
USA,8734,RFCEc_Mixed mild_4A
USA,8735,RFCEc_Mixed mild_4A
USA,8738,RFCEc_Mixed mild_4A
USA,8739,RFCEc_Mixed mild_4A
USA,8740,RFCEc_Mixed mild_4A
USA,8741,RFCEc_Mixed mild_4A
USA,8742,RFCEc_Mixed mild_4A
USA,8751,RFCEc_Mixed mild_4A
USA,8752,RFCEc_Mixed mild_4A
USA,8753,RFCEc_Mixed mild_4A
USA,8754,RFCEc_Mixed mild_4A
USA,8755,RFCEc_Mixed mild_4A
USA,8757,RFCEc_Mixed mild_4A
USA,8758,RFCEc_Mixed mild_4A
USA,8759,RFCEc_Mixed mild_4A
USA,8001,RFCEc_Mixed mild_4A
USA,8023,RFCEc_Mixed mild_4A
USA,8038,RFCEc_Mixed mild_4A
USA,8067,RFCEc_Mixed mild_4A
USA,8069,RFCEc_Mixed mild_4A
USA,8070,RFCEc_Mixed mild_4A
USA,8072,RFCEc_Mixed mild_4A
USA,8079,RFCEc_Mixed mild_4A
USA,8085,RFCEc_Mixed mild_4A
USA,8098,RFCEc_Mixed mild_4A
USA,8302,RFCEc_Mixed mild_4A
USA,8318,RFCEc_Mixed mild_4A
USA,8343,RFCEc_Mixed mild_4A
USA,8344,RFCEc_Mixed mild_4A
USA,8347,RFCEc_Mixed mild_4A
USA,8002,RFCEc_Mixed mild_4A
USA,8003,RFCEc_Mixed mild_4A
USA,8004,RFCEc_Mixed mild_4A
USA,8007,RFCEc_Mixed mild_4A
USA,8009,RFCEc_Mixed mild_4A
USA,8012,RFCEc_Mixed mild_4A
USA,8018,RFCEc_Mixed mild_4A
USA,8021,RFCEc_Mixed mild_4A
USA,8026,RFCEc_Mixed mild_4A
USA,8029,RFCEc_Mixed mild_4A
USA,8030,RFCEc_Mixed mild_4A
USA,8031,RFCEc_Mixed mild_4A
USA,8033,RFCEc_Mixed mild_4A
USA,8034,RFCEc_Mixed mild_4A
USA,8035,RFCEc_Mixed mild_4A
USA,8037,RFCEc_Mixed mild_4A
USA,8043,RFCEc_Mixed mild_4A
USA,8045,RFCEc_Mixed mild_4A
USA,8049,RFCEc_Mixed mild_4A
USA,8052,RFCEc_Mixed mild_4A
USA,8053,RFCEc_Mixed mild_4A
USA,8059,RFCEc_Mixed mild_4A
USA,8065,RFCEc_Mixed mild_4A
USA,8078,RFCEc_Mixed mild_4A
USA,8080,RFCEc_Mixed mild_4A
USA,8081,RFCEc_Mixed mild_4A
USA,8083,RFCEc_Mixed mild_4A
USA,8084,RFCEc_Mixed mild_4A
USA,8089,RFCEc_Mixed mild_4A
USA,8091,RFCEc_Mixed mild_4A
USA,8095,RFCEc_Mixed mild_4A
USA,8099,RFCEc_Mixed mild_4A
USA,8101,RFCEc_Mixed mild_4A
USA,8102,RFCEc_Mixed mild_4A
USA,8103,RFCEc_Mixed mild_4A
USA,8104,RFCEc_Mixed mild_4A
USA,8105,RFCEc_Mixed mild_4A
USA,8106,RFCEc_Mixed mild_4A
USA,8107,RFCEc_Mixed mild_4A
USA,8108,RFCEc_Mixed mild_4A
USA,8109,RFCEc_Mixed mild_4A
USA,8110,RFCEc_Mixed mild_4A
USA,8010,RFCEc_Mixed mild_4A
USA,8011,RFCEc_Mixed mild_4A
USA,8015,RFCEc_Mixed mild_4A
USA,8016,RFCEc_Mixed mild_4A
USA,8019,RFCEc_Mixed mild_4A
USA,8022,RFCEc_Mixed mild_4A
USA,8036,RFCEc_Mixed mild_4A
USA,8041,RFCEc_Mixed mild_4A
USA,8042,RFCEc_Mixed mild_4A
USA,8046,RFCEc_Mixed mild_4A
USA,8048,RFCEc_Mixed mild_4A
USA,8054,RFCEc_Mixed mild_4A
USA,8055,RFCEc_Mixed mild_4A
USA,8057,RFCEc_Mixed mild_4A
USA,8060,RFCEc_Mixed mild_4A
USA,8064,RFCEc_Mixed mild_4A
USA,8068,RFCEc_Mixed mild_4A
USA,8073,RFCEc_Mixed mild_4A
USA,8075,RFCEc_Mixed mild_4A
USA,8077,RFCEc_Mixed mild_4A
USA,8088,RFCEc_Mixed mild_4A
USA,8215,RFCEc_Mixed mild_4A
USA,8224,RFCEc_Mixed mild_4A
USA,8505,RFCEc_Mixed mild_4A
USA,8511,RFCEc_Mixed mild_4A
USA,8515,RFCEc_Mixed mild_4A
USA,8518,RFCEc_Mixed mild_4A
USA,8554,RFCEc_Mixed mild_4A
USA,8610,RFCEc_Mixed mild_4A
USA,8640,RFCEc_Mixed mild_4A
USA,8641,RFCEc_Mixed mild_4A
USA,8014,RFCEc_Mixed mild_4A
USA,8020,RFCEc_Mixed mild_4A
USA,8025,RFCEc_Mixed mild_4A
USA,8027,RFCEc_Mixed mild_4A
USA,8028,RFCEc_Mixed mild_4A
USA,8032,RFCEc_Mixed mild_4A
USA,8039,RFCEc_Mixed mild_4A
USA,8051,RFCEc_Mixed mild_4A
USA,8056,RFCEc_Mixed mild_4A
USA,8061,RFCEc_Mixed mild_4A
USA,8062,RFCEc_Mixed mild_4A
USA,8063,RFCEc_Mixed mild_4A
USA,8066,RFCEc_Mixed mild_4A
USA,8071,RFCEc_Mixed mild_4A
USA,8074,RFCEc_Mixed mild_4A
USA,8086,RFCEc_Mixed mild_4A
USA,8090,RFCEc_Mixed mild_4A
USA,8093,RFCEc_Mixed mild_4A
USA,8094,RFCEc_Mixed mild_4A
USA,8096,RFCEc_Mixed mild_4A
USA,8097,RFCEc_Mixed mild_4A
USA,8312,RFCEc_Mixed mild_4A
USA,8322,RFCEc_Mixed mild_4A
USA,8328,RFCEc_Mixed mild_4A
USA,8360,RFCEc_Mixed mild_4A
USA,8201,RFCEc_Mixed mild_4A
USA,8203,RFCEc_Mixed mild_4A
USA,8205,RFCEc_Mixed mild_4A
USA,8213,RFCEc_Mixed mild_4A
USA,8217,RFCEc_Mixed mild_4A
USA,8220,RFCEc_Mixed mild_4A
USA,8221,RFCEc_Mixed mild_4A
USA,8225,RFCEc_Mixed mild_4A
USA,8231,RFCEc_Mixed mild_4A
USA,8232,RFCEc_Mixed mild_4A
USA,8234,RFCEc_Mixed mild_4A
USA,8240,RFCEc_Mixed mild_4A
USA,8241,RFCEc_Mixed mild_4A
USA,8244,RFCEc_Mixed mild_4A
USA,8270,RFCEc_Mixed mild_4A
USA,8310,RFCEc_Mixed mild_4A
USA,8317,RFCEc_Mixed mild_4A
USA,8319,RFCEc_Mixed mild_4A
USA,8326,RFCEc_Mixed mild_4A
USA,8330,RFCEc_Mixed mild_4A
USA,8340,RFCEc_Mixed mild_4A
USA,8341,RFCEc_Mixed mild_4A
USA,8342,RFCEc_Mixed mild_4A
USA,8346,RFCEc_Mixed mild_4A
USA,8350,RFCEc_Mixed mild_4A
USA,8361,RFCEc_Mixed mild_4A
USA,8401,RFCEc_Mixed mild_4A
USA,8402,RFCEc_Mixed mild_4A
USA,8403,RFCEc_Mixed mild_4A
USA,8404,RFCEc_Mixed mild_4A
USA,8405,RFCEc_Mixed mild_4A
USA,8406,RFCEc_Mixed mild_4A
USA,8202,RFCEc_Mixed mild_4A
USA,8204,RFCEc_Mixed mild_4A
USA,8210,RFCEc_Mixed mild_4A
USA,8212,RFCEc_Mixed mild_4A
USA,8214,RFCEc_Mixed mild_4A
USA,8218,RFCEc_Mixed mild_4A
USA,8219,RFCEc_Mixed mild_4A
USA,8223,RFCEc_Mixed mild_4A
USA,8226,RFCEc_Mixed mild_4A
USA,8230,RFCEc_Mixed mild_4A
USA,8242,RFCEc_Mixed mild_4A
USA,8243,RFCEc_Mixed mild_4A
USA,8245,RFCEc_Mixed mild_4A
USA,8246,RFCEc_Mixed mild_4A
USA,8247,RFCEc_Mixed mild_4A
USA,8248,RFCEc_Mixed mild_4A
USA,8250,RFCEc_Mixed mild_4A
USA,8251,RFCEc_Mixed mild_4A
USA,8252,RFCEc_Mixed mild_4A
USA,8260,RFCEc_Mixed mild_4A
USA,8314,RFCEc_Mixed mild_4A
USA,8311,RFCEc_Mixed mild_4A
USA,8313,RFCEc_Mixed mild_4A
USA,8315,RFCEc_Mixed mild_4A
USA,8316,RFCEc_Mixed mild_4A
USA,8320,RFCEc_Mixed mild_4A
USA,8321,RFCEc_Mixed mild_4A
USA,8323,RFCEc_Mixed mild_4A
USA,8324,RFCEc_Mixed mild_4A
USA,8327,RFCEc_Mixed mild_4A
USA,8329,RFCEc_Mixed mild_4A
USA,8332,RFCEc_Mixed mild_4A
USA,8345,RFCEc_Mixed mild_4A
USA,8348,RFCEc_Mixed mild_4A
USA,8349,RFCEc_Mixed mild_4A
USA,8352,RFCEc_Mixed mild_4A
USA,8353,RFCEc_Mixed mild_4A
USA,8362,RFCEc_Mixed mild_4A
USA,10001,NYSTc_Mixed mild_4A
USA,10002,NYSTc_Mixed mild_4A
USA,10003,NYSTc_Mixed mild_4A
USA,10004,NYSTc_Mixed mild_4A
USA,10005,NYSTc_Mixed mild_4A
USA,10006,NYSTc_Mixed mild_4A
USA,10007,NYSTc_Mixed mild_4A
USA,10008,NYSTc_Mixed mild_4A
USA,10009,NYSTc_Mixed mild_4A
USA,10010,NYSTc_Mixed mild_4A
USA,10011,NYSTc_Mixed mild_4A
USA,10012,NYSTc_Mixed mild_4A
USA,10013,NYSTc_Mixed mild_4A
USA,10014,NYSTc_Mixed mild_4A
USA,10016,NYSTc_Mixed mild_4A
USA,10017,NYSTc_Mixed mild_4A
USA,10018,NYSTc_Mixed mild_4A
USA,10019,NYSTc_Mixed mild_4A
USA,10020,NYSTc_Mixed mild_4A
USA,10021,NYSTc_Mixed mild_4A
USA,10022,NYSTc_Mixed mild_4A
USA,10023,NYSTc_Mixed mild_4A
USA,10024,NYSTc_Mixed mild_4A
USA,10025,NYSTc_Mixed mild_4A
USA,10026,NYSTc_Mixed mild_4A
USA,10027,NYSTc_Mixed mild_4A
USA,10028,NYSTc_Mixed mild_4A
USA,10029,NYSTc_Mixed mild_4A
USA,10030,NYSTc_Mixed mild_4A
USA,10031,NYSTc_Mixed mild_4A
USA,10032,NYSTc_Mixed mild_4A
USA,10033,NYSTc_Mixed mild_4A
USA,10034,NYSTc_Mixed mild_4A
USA,10035,NYSTc_Mixed mild_4A
USA,10036,NYSTc_Mixed mild_4A
USA,10037,NYSTc_Mixed mild_4A
USA,10038,NYSTc_Mixed mild_4A
USA,10039,NYSTc_Mixed mild_4A
USA,10040,NYSTc_Mixed mild_4A
USA,10041,NYSTc_Mixed mild_4A
USA,10043,NYSTc_Mixed mild_4A
USA,10044,NYSTc_Mixed mild_4A
USA,10045,NYSTc_Mixed mild_4A
USA,10055,NYSTc_Mixed mild_4A
USA,10065,NYSTc_Mixed mild_4A
USA,10069,NYSTc_Mixed mild_4A
USA,10075,NYSTc_Mixed mild_4A
USA,10080,NYSTc_Mixed mild_4A
USA,10081,NYSTc_Mixed mild_4A
USA,10101,NYSTc_Mixed mild_4A
USA,10103,NYSTc_Mixed mild_4A
USA,10104,NYSTc_Mixed mild_4A
USA,10105,NYSTc_Mixed mild_4A
USA,10106,NYSTc_Mixed mild_4A
USA,10107,NYSTc_Mixed mild_4A
USA,10108,NYSTc_Mixed mild_4A
USA,10110,NYSTc_Mixed mild_4A
USA,10111,NYSTc_Mixed mild_4A
USA,10112,NYSTc_Mixed mild_4A
USA,10113,NYSTc_Mixed mild_4A
USA,10115,NYSTc_Mixed mild_4A
USA,10116,NYSTc_Mixed mild_4A
USA,10117,NYSTc_Mixed mild_4A
USA,10118,NYSTc_Mixed mild_4A
USA,10119,NYSTc_Mixed mild_4A
USA,10120,NYSTc_Mixed mild_4A
USA,10121,NYSTc_Mixed mild_4A
USA,10122,NYSTc_Mixed mild_4A
USA,10123,NYSTc_Mixed mild_4A
USA,10124,NYSTc_Mixed mild_4A
USA,10125,NYSTc_Mixed mild_4A
USA,10126,NYSTc_Mixed mild_4A
USA,10128,NYSTc_Mixed mild_4A
USA,10129,NYSTc_Mixed mild_4A
USA,10131,NYSTc_Mixed mild_4A
USA,10133,NYSTc_Mixed mild_4A
USA,10138,NYSTc_Mixed mild_4A
USA,10150,NYSTc_Mixed mild_4A
USA,10151,NYSTc_Mixed mild_4A
USA,10152,NYSTc_Mixed mild_4A
USA,10153,NYSTc_Mixed mild_4A
USA,10154,NYSTc_Mixed mild_4A
USA,10155,NYSTc_Mixed mild_4A
USA,10156,NYSTc_Mixed mild_4A
USA,10157,NYSTc_Mixed mild_4A
USA,10158,NYSTc_Mixed mild_4A
USA,10159,NYSTc_Mixed mild_4A
USA,10160,NYSTc_Mixed mild_4A
USA,10162,NYSTc_Mixed mild_4A
USA,10163,NYSTc_Mixed mild_4A
USA,10164,NYSTc_Mixed mild_4A
USA,10165,NYSTc_Mixed mild_4A
USA,10166,NYSTc_Mixed mild_4A
USA,10167,NYSTc_Mixed mild_4A
USA,10168,NYSTc_Mixed mild_4A
USA,10169,NYSTc_Mixed mild_4A
USA,10170,NYSTc_Mixed mild_4A
USA,10171,NYSTc_Mixed mild_4A
USA,10172,NYSTc_Mixed mild_4A
USA,10173,NYSTc_Mixed mild_4A
USA,10174,NYSTc_Mixed mild_4A
USA,10175,NYSTc_Mixed mild_4A
USA,10176,NYSTc_Mixed mild_4A
USA,10177,NYSTc_Mixed mild_4A
USA,10178,NYSTc_Mixed mild_4A
USA,10179,NYSTc_Mixed mild_4A
USA,10185,NYSTc_Mixed mild_4A
USA,10199,NYSTc_Mixed mild_4A
USA,10203,NYSTc_Mixed mild_4A
USA,10211,NYSTc_Mixed mild_4A
USA,10212,NYSTc_Mixed mild_4A
